title,artist,genre,mood,energy,tempo
Blinding Lights,The Weeknd,pop,happy,0.8,171
Bohemian Rhapsody,Queen,rock,melancholy,0.7,144
Clair de Lune,Debussy,classical,calm,0.15,72
Lose Yourself,Eminem,hip-hop,motivated,0.95,171
Redbone,Childish Gambino,r&b,chill,0.45,105
Strobe,Deadmau5,electronic,energetic,0.85,128
Nuvole Bianche,Ludovico Einaudi,classical,melancholy,0.2,68
Sicko Mode,Travis Scott,hip-hop,energetic,0.9,155
Someone Like You,Adele,pop,melancholy,0.3,136
Get Lucky,Daft Punk,electronic,happy,0.7,116
Weightless,Marconi Union,ambient,calm,0.1,60
Don't Stop Me Now,Queen,rock,happy,0.9,156
Swimming Pools,Kendrick Lamar,hip-hop,chill,0.6,140
Midnight City,M83,electronic,energetic,0.75,105
The Night We Met,Lord Huron,indie,melancholy,0.25,108
Electric Feel,MGMT,indie,happy,0.65,120
Breathe Me,Sia,pop,melancholy,0.2,92
Bangarang,Skrillex,electronic,energetic,0.95,110
Vienna,Billy Joel,rock,calm,0.35,98
Money Trees,Kendrick Lamar,hip-hop,motivated,0.7,136
